pid,year,jbsect1,jbhrs1,age,e1,spelldur1,logw1,jbsect2,jbhrs2,j2u,j2j,u2j,e2,logw2,sex,educ,nonwhite
15229718,2002,1,35,36,1,122.23562,7.0637336,1,15,0,1,0,1,6.4332705,0,2,0
15230791,2003,1,31,59,1,131.34247,6.1729336,,,0,0,0,,,0,1,0
15230821,1997,1,40,52,1,63.912331,7.1309934,1,40,0,1,0,1,7.1151643,1,3,0
15233049,1992,1,-8,29,0,.23013699,,1,42,0,0,1,1,7.0417852,1,1,0
15234169,2003,3,40,42,1,131.53972,7.3132691,,,0,0,0,,,1,2,0
15238636,1994,3,28,35,1,33.139725,7.535387,3,35,0,1,0,1,7.7106762,0,3,0
15247597,1992,3,-8,51,0,9.1068497,,3,36,0,0,1,1,6.8302646,1,2,0
15249832,2003,1,37,42,1,131.34247,6.9812212,,,0,0,0,,,1,1,0
15277852,1996,4,20,42,1,58.947945,5.9156199,1,25,0,1,0,1,6.019598,0,1,0
15282333,1997,4,37,53,1,62.827396,7.1952939,4,19,1,0,0,0,6.5365353,0,1,0
15284549,1993,1,35,33,1,15.320548,7.2813449,1,35,0,1,0,1,7.6204181,1,3,0
15284573,1994,3,37,33,1,29.128767,7.2556205,3,37,0,1,0,1,7.3727574,0,3,0
15292401,2000,1,35,57,1,105.50137,7.319591,1,35,0,1,0,1,7.4945521,1,1,0
15300218,1996,1,40,33,1,48.493149,6.9070106,1,42,0,1,0,1,6.5497022,1,3,0
15301338,1995,1,39,47,1,41.49041,5.9722648,1,24,1,0,0,0,6.280705,0,1,0
15304698,2003,1,38,63,1,132,6.828166,,,0,0,0,,,0,2,0
15311406,1995,1,39,38,1,38.005478,6.541492,1,39,0,1,0,1,6.4967313,1,1,0
15311449,1992,1,20,35,1,.95342463,5.6040425,1,16,1,0,0,0,5.3844562,0,1,0
15320367,1994,1,45,48,1,33.369862,7.2276111,-8,-8,1,0,0,0,,1,1,0
15320391,1999,3,33,52,1,83.605476,7.6381345,,,0,0,0,,,0,3,0
15321487,2003,5,39,44,1,132.46028,7.3572879,,,0,0,0,,,1,1,0
15323722,1992,1,20,46,1,.032876711,5.7603889,1,20,0,1,0,1,5.7961907,0,1,0
15323757,1995,1,40,48,1,38.630138,7.4385991,1,37,0,1,0,1,7.4672804,1,3,0
15332683,1997,1,39,39,1,66.049316,6.9274135,1,39,0,1,0,1,6.5765219,1,1,0
15332713,2001,1,30,42,1,118.19178,6.0958829,1,18,0,1,0,1,5.9074402,0,1,0
15340546,2003,1,37,47,1,130.06027,6.6862745,,,0,0,0,,,1,1,0
15350657,2001,1,37,36,1,117.56712,6.7318935,3,37,0,1,0,1,6.7180648,0,1,0
15351742,1993,1,26,37,1,21.041096,5.9647398,1,30,0,1,0,1,6.1772647,0,1,0
15352838,2003,1,50,56,1,131.37534,7.6381831,,,0,0,0,,,1,1,0
15352862,2003,3,37,55,1,131.60548,6.6440911,,,0,0,0,,,0,1,0
15358437,1993,1,39,55,1,22.060274,7.3176136,1,40,0,1,0,1,7.3319664,1,3,0
15360679,1993,1,50,28,1,21.928766,7.3716612,1,39,0,1,0,1,7.5651603,1,1,0
15361799,1992,1,-8,35,0,1.5452055,,1,20,0,0,1,1,5.6768441,0,1,0
15362906,1993,1,37,50,1,20.580822,7.076231,1,-8,1,0,0,0,,1,2,0
15367398,1994,3,35,48,1,34.5863,7.0928512,3,45,0,1,0,1,7.1459308,0,3,0
15368513,2003,1,0,48,1,131.21095,7.6019635,,,0,0,0,,,1,3,0
15375269,1992,1,-8,31,0,2.6958904,,3,40,0,0,1,1,7.1844072,0,3,0
15378586,2003,3,40,46,1,131.40822,7.4920211,,,0,0,0,,,1,1,0
